lop	tiet	GV1001	GV1002	GV1003	GV1004	GV1005	GV1006	GV1007	GV1008	GV1009	GV1010	GV1011	GV1012	GV1013	GV1015	GV1016	GV1017	GV1018	GV1019	GV1020	GV1021	GV1022	GV1023	GV1024	GV1025	GV1026	GV1027	GV1028	GV1029	GV1030	GV1031	GV1032	GV1033	GV1034	GV1035	GV1036	GV1037	GV1038	GV1039	GV1040	GV1041	GV1042	GV1043	GV1044	GV1045	GV1046	GV1047	GV1048	GV1049	GV1050	GV1051	GV1052	GV1053	GV1054	GV1056	GV1057	GV1058	GV1059	GV1060	GV1061	GV1062	GV1063	GV1064	GV1065	GV1066	GV1067	GV1068	GV1069	GV1070	GV1071	GV1073	GV1074	GV1076	GV1077	GVNN01	GVNN02	GVNN03
4	1	Toan - 10E	Toan - 11D	Toan - 12G	Toan - 12M	Toan - 12D	Toan - 11N	Toan - 11K	Toan - 10M	Toan - 11M	Toan - 11H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 10A	Anh - 12C	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 12N	 - 	 - 	 - 	 - 	 - 	Su - 12B	Su - 12H	 - 	 - 	Dia - 11A	Dia - 10H	Dia - 10B	GDCD - 12E	GDCD - 11T	 - 	TD - 10D	TD - 11Q	TD - 10N	TD - 11C	QP - 11E	QP - 12K	Tin - 12A	Tin - 10C	 - 	Tin - 10G	CN - 11P	 - 	 - 	 - 	AVNN - 11G	AVNN - 10K	AVNN - 11B	
4	2	Toan - 10E	Toan - 11D	Toan - 12G	Toan - 12M	Toan - 12D	Toan - 11N	Toan - 11K	Toan - 10M	Toan - 11M	Toan - 11H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 10A	Anh - 12C	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 10C	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 12H	 - 	 - 	Sinh - 12B	 - 	 - 	Su - 12K	Su - 12N	 - 	 - 	Dia - 11E	Dia - 10H	Dia - 11P	GDCD - 10G	GDCD - 11A	 - 	TD - 10D	TD - 11Q	TD - 10N	TD - 11C	QP - 11T	QP - 12E	Tin - 12A	Tin - 10B	 - 	 - 	 - 	 - 	 - 	 - 	AVNN - 11G	AVNN - 10K	AVNN - 11B	
4	3	Toan - 12N	Toan - 10K	Toan - 10C	Toan - 11B	Toan - 11C	Toan - 11G	Toan - 11Q	 - 	Toan - 10D	Toan - 10H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 10N	 - 	 - 	Ly - 12A	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 12C	 - 	Sinh - 12M	Sinh - 12B	 - 	 - 	Su - 12K	Su - 12E	 - 	 - 	Dia - 11K	Dia - 10E	Dia - 11T	GDCD - 12H	GDCD - 11N	 - 	TD - 10B	TD - 11P	TD - 12D	TD - 11D	QP - 11H	QP - 12G	 - 	Tin - 10A	 - 	Tin - 10M	CN - 11E	 - 	 - 	 - 	AVNN - 11M	AVNN - 11A	AVNN - 10G	
4	4	Toan - 12N	 - 	Toan - 10C	Toan - 11B	Toan - 11C	Toan - 11G	Toan - 11Q	 - 	Toan - 10D	Toan - 10H	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 12A	 - 	Anh - 12G	 - 	 - 	 - 	Anh - 12K	Anh - 10N	 - 	 - 	 - 	Ly - 11N	CN - 12H	 - 	Ly - 11E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Su - 12C	Su - 12E	 - 	 - 	Dia - 11H	Dia - 10K	 - 	GDCD - 10E	GDCD - 11K	GDCD - 10A	TD - 10B	TD - 11P	TD - 12D	TD - 11D	QP - 12B	QP - 12M	Tin - 11T	 - 	 - 	Tin - 10M	 - 	 - 	 - 	 - 	AVNN - 11M	AVNN - 11A	AVNN - 10G	
4	5	Toan - 12C	 - 	Toan - 12K	Toan - 12A	 - 	Toan - 11T	Toan - 12E	Toan - 11A	Toan - 11P	Toan - 11E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Anh - 10C	Anh - 12N	 - 	 - 	Anh - 11C	Anh - 11Q	Anh - 12H	 - 	 - 	 - 	Ly - 10E	Ly - 10D	Ly - 11N	Ly - 11D	Ly - 10G	Ly - 11B	Ly - 12B	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Sinh - 12D	 - 	Sinh - 10H	 - 	 - 	Su - 12G	Su - 10A	Su - 10B	Dia - 11G	Dia - 10K	Dia - 10M	 - 	GDCD - 11H	 - 	 - 	 - 	 - 	 - 	QP - 11M	QP - 12M	 - 	 - 	 - 	Tin - 10N	CN - 11K	 - 	 - 	 - 	 - 	 - 	 - 	
5	1	 - 	Toan - 10G	Toan - 10C	Toan - 11B	Toan - 11C	Toan - 11G	Toan - 11Q	Toan - 10B	Toan - 11M	 - 	 - 	 - 	Van - 10D	Van - 12D	Van - 11K	Van - 11H	Van - 11P	Van - 12C	Van - 11D	Van - 11N	Anh - 12M	 - 	 - 	 - 	Anh - 11E	 - 	 - 	 - 	Anh - 10N	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Hoa - 10K	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Su - 12B	 - 	 - 	 - 	Dia - 12K	Dia - 12H	Dia - 10M	 - 	 - 	 - 	TD - 10A	TD - 11T	TD - 12E	TD - 11A	QP - 12A	QP - 12N	 - 	 - 	 - 	Tin - 12G	 - 	 - 	 - 	 - 	AVNN - 10H	AVNN - 10E	 - 	
5	2	 - 	Toan - 10G	 - 	Toan - 12A	Toan - 12H	 - 	Toan - 11K	Toan - 10B	 - 	Toan - 11H	 - 	 - 	Van - 10D	 - 	 - 	 - 	 - 	Van - 12C	Van - 11D	Van - 11N	 - 	 - 	 - 	 - 	Anh - 11E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Hoa - 11C	Hoa - 11M	 - 	Hoa - 12B	Hoa - 10M	 - 	 - 	 - 	Sinh - 12K	 - 	 - 	Su - 12M	Su - 12N	 - 	 - 	Dia - 11Q	Dia - 10C	Dia - 10N	GDCD - 10K	GDCD - 11G	 - 	TD - 10A	TD - 11T	TD - 12E	TD - 11A	QP - 11B	QP - 12D	 - 	 - 	 - 	Tin - 12G	 - 	 - 	 - 	 - 	AVNN - 10H	AVNN - 10E	AVNN - 11P	
5	3	Toan - 12C	Toan - 11D	Toan - 10A	Toan - 12A	Toan - 12H	Toan - 11N	 - 	 - 	 - 	Toan - 10H	 - 	 - 	Van - 11A	 - 	Van - 10B	Van - 10C	Van - 12E	 - 	 - 	Van - 10K	 - 	 - 	 - 	Anh - 11G	Anh - 10M	 - 	 - 	 - 	Anh - 11K	 - 	 - 	 - 	 - 	 - 	 - 	Ly - 12N	 - 	Hoa - 10D	 - 	 - 	Hoa - 11Q	Hoa - 10E	Hoa - 11E	Sinh - 11H	 - 	 - 	 - 	 - 	 - 	Su - 10G	 - 	 - 	 - 	Dia - 12G	 - 	Dia - 10N	 - 	GDCD - 11M	 - 	 - 	TD - 12K	TD - 12B	TD - 11B	 - 	QP - 12D	 - 	 - 	 - 	Tin - 12M	 - 	 - 	 - 	 - 	AVNN - 11C	AVNN - 11T	AVNN - 11P	
5	4	Toan - 12C	 - 	Toan - 10A	 - 	 - 	 - 	 - 	Toan - 11A	Toan - 11P	Toan - 11E	 - 	 - 	 - 	 - 	Van - 10B	Van - 10C	Van - 12E	 - 	 - 	Van - 10K	 - 	Anh - 12N	 - 	Anh - 11G	Anh - 10M	 - 	 - 	 - 	Anh - 11K	 - 	 - 	Ly - 10N	 - 	Ly - 11D	 - 	Ly - 11M	 - 	Hoa - 10D	 - 	Hoa - 11H	Hoa - 12G	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	Su - 12D	 - 	 - 	 - 	Dia - 11N	Dia - 12A	Dia - 10G	GDCD - 10H	GDCD - 11Q	 - 	 - 	TD - 12K	TD - 12B	TD - 11B	 - 	QP - 12H	 - 	Tin - 10E	 - 	Tin - 12M	 - 	 - 	 - 	 - 	AVNN - 11C	AVNN - 11T	 - 	
5	5	 - 	 - 	Toan - 12K	 - 	 - 	Toan - 11T	Toan - 12E	 - 	 - 	Toan - 11E	 - 	 - 	 - 	 - 	 - 	 - 	Van - 12A	 - 	 - 	 - 	 - 	Anh - 12N	 - 	 - 	Anh - 11P	 - 	 - 	Anh - 12B	 - 	 - 	Ly - 10H	Ly - 10C	Ly - 11A	Ly - 12D	 - 	Ly - 11M	Ly - 12M	Hoa - 10N	Hoa - 11N	Hoa - 11H	Hoa - 11G	 - 	Hoa - 11K	 - 	Sinh - 10B	Sinh - 11D	Sinh - 11Q	 - 	 - 	 - 	Su - 10K	 - 	Su - 10D	Dia - 11C	Dia - 10A	Dia - 10G	GDCD - 10M	GDCD - 12G	GDCD - 11B	 - 	 - 	 - 	 - 	QP - 12C	QP - 12H	 - 	Tin - 10E	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	
